LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
9,"UTTAR PRADESH",147,GONDA,271001.0,13/12/2021,"RAJA KHAD BHANDAR","PATHWALIYA, PATHWALIYA, PATHWALIYA, PATHWALIYA, PATHWALIYA, GONDA","[{""NIC5DigitId"":""47737"",""Description"":""Retail sale of seeds, fertilisers, pesticides, machinery equipments and hand tools""}]"
27,MAHARASHTRA,466,AHMEDNAGAR,414502.0,13/12/2021,"Stuti Poultry Farm","26/2, Gauthan Padali, Sakegaon Road, 26/2, 1, Pathardi","[{""NIC5DigitId"":""01463"",""Description"":""Operation of poultry hatcheries""}]"
8,RAJASTHAN,102,JAIPUR,302020.0,13/12/2021,"M/S AVOCSAS &CO.","242, AVOCSAS AND CO, MANSAROVAR, 242, MAHIMA FLORENZA, JAIPUR","[{""NIC5DigitId"":""56304"",""Description"":""Mobile beverage vendors""},{""NIC5DigitId"":""82990"",""Description"":""Other business support service activities n.e.c.""}]"
23,"MADHYA PRADESH",396,BHOPAL,462010.0,13/12/2021,"Perfect trailor","1/28, Sourabh colony, Chandbad, 1/28, Huzur, Bhopal","[{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
1,"JAMMU AND KASHMIR",4,DODA,182202.0,13/12/2021,"M/S YOUNIS SHUTTERING AND BUILDING MATERIALS GHAT ( DODA)","GHAT,, ARNORA, DODA, GHAT,, ., DODA","[{""NIC5DigitId"":""41001"",""Description"":""Construction of buildings carried out on own-account basis or on a fee or contract basis""}]"
8,RAJASTHAN,108,KARAULI,322238.0,13/12/2021,"Dev Enterprises","01, NEW BUS STAND JAHANNGAR MORDA, MAIN ROAD JAHNNAGAR MORDA, 01, TODABHIM, TODABHIM","[{""NIC5DigitId"":""53200"",""Description"":""Courier activities""}]"
7,DELHI,84,"SOUTH WEST",110059.0,13/12/2021,"Divyansh collection","C 16, Arya Samaj Road, Arya samaj road, C 16, C Block, New delhi","[{""NIC5DigitId"":""90009"",""Description"":""Other creative arts and and entertainment activities""},{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
9,"UTTAR PRADESH",131,BASTI,272002.0,13/12/2021,"HARISH MOBILE SHOP AND REPAIRING CENTER","VILLAGE DHARMUPUR, POST DUDHAURA, BASTI, VILLAGE DHARMUPUR, BASTI SADAR, BASTI","[{""NIC5DigitId"":""61900"",""Description"":""Other telecommunications activities""},{""NIC5DigitId"":""95295"",""Description"":""Repair of musical instruments""},{""NIC5DigitId"":""33140"",""Description"":""Repair of electrical equipment""}]"
27,MAHARASHTRA,490,PUNE,412205.0,13/12/2021,"SMGU HANDMADE MASALE FRANCHISE NO 03","STALL NO 27, MAHARASHTRA FOOD FLAVOURS, HISSA NO 02, STALL NO 27, GAT NO 824, PUNE","[{""NIC5DigitId"":""47211"",""Description"":""Retail sale of cereals and pulses, tea, coffee, spices and flour""},{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""}]"
36,TELANGANA,518,"RANGA REDDI",501505.0,13/12/2021,"M/S SCOT AGRITECH PRIVATE LIMITED","D NO 4-9-2/NR/6, VIJAYANAGAR COLONY, HAYATHNAGAR, D NO 4-9-2/NR/6, PRAGATHI NAGAR, HYDERABAD","[{""NIC5DigitId"":""46692"",""Description"":""Wholesale of fertilizers and agrochemical products""},{""NIC5DigitId"":""47737"",""Description"":""Retail sale of seeds, fertilisers, pesticides, machinery equipments and hand tools""},{""NIC5DigitId"":""20119"",""Description"":""Manufacture of organic and inorganic chemical compounds n.e.c.""},{""NIC5DigitId"":""20121"",""Description"":""Manufacture of urea and other organic fertilizers""},{""NIC5DigitId"":""20129"",""Description"":""Manufacture of other fertilizers n.e.c.""},{""NIC5DigitId"":""20211"",""Description"":""Manufacture of insecticides, rodenticides, fungicides, herbicides""},{""NIC5DigitId"":""20213"",""Description"":""Manufacture of anti-sprouting products, plant growth regulators""},{""NIC5DigitId"":""20219"",""Description"":""Manufacture of other agrochemical products n.e.c.""}]"
33,"TAMIL NADU",575,KANNIYAKUMARI,629165.0,13/12/2021,"SS Sreenika store","3/38A, Pallichavilagam, Marthandam, 3/38A, Vilavancode, Kannyakumari","[{""NIC5DigitId"":""47212"",""Description"":""Retail sale of fresh or preserved fruit and vegetables""}]"
8,RAJASTHAN,87,ALWAR,301001.0,13/12/2021,"Sonu kirana Store","Khudanpuri, Khudanpuri, Surya nagar road, Khudanpuri, Khudanpuri, Alwar","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
23,"MADHYA PRADESH",419,NEEMUCH,458118.0,13/12/2021,"JAIN UPHAR GRUH AND COLD DRINKS CENTER","WN 13, DHANMANDI MOHALLA, NALI, WN 13, NEEMUCH, NEEMUCH","[{""NIC5DigitId"":""56101"",""Description"":""Restaurants without bars""}]"
6,HARYANA,76,YAMUNANAGAR,135133.0,13/12/2021,"SAI TRADERS","MANDHAR, NA, NA, MANDHAR, NA, YAMUNANAGAR","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
8,RAJASTHAN,102,JAIPUR,302013.0,13/12/2021,"SHREE SHYAM BABA ROADWAYS","C-165, 200 FEET BYPASS, ROAD NO. 14, MACHEDA, C-165, NEAR HARSH HOTEL, JAIPUR","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
9,"UTTAR PRADESH",137,DEORIA,274509.0,13/12/2021,"sanjay footwear","NA, CHERO ROAD SALEMPUR, CHERO ROAD, NA, SALEMPUR, SALEMPUR","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
29,KARNATAKA,540,HAVERI,582112.0,13/12/2021,"VINAYAKA KOTEPPA KATTEBENNUR","2, VINAYAKA KOTEPPA KATTEBENNUR, Gadag, 2, Hebbal, Gadag","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
33,"TAMIL NADU",568,CHENNAI,600010.0,13/12/2021,"ANOOP TEA STALL","90, -, BARRACKA ROAD, 90, -, KILPAUK","[{""NIC5DigitId"":""10791"",""Description"":""Processing and blending of tea including manufacture of instant tea""}]"
10,BIHAR,212,PATNA,801503.0,13/12/2021,NeelamGupta,"Danapur, Gayatri Devi, Sadar bazar Danapur, Danapur, Danapur, Patna","[{""NIC5DigitId"":""96091"",""Description"":""Social activities such as escort services, marriage bureaus""}]"
6,HARYANA,67,KARNAL,132001.0,13/12/2021,"JAI DURGA ELECTRONIC & WATCH & MOBILE CENTRE","SHOP 39/40, OPP. DEVI MANDIR NEAR CLOCK TOWER, NOVALTY ROAD, SHOP 39/40, 0, karnal","[{""NIC5DigitId"":""47732"",""Description"":""Retail sale of watches and clocks""},{""NIC5DigitId"":""95210"",""Description"":""Repair of consumer electronics""},{""NIC5DigitId"":""46524"",""Description"":""Wholesale of telephone, mobile phone and communications equipment and parts""}]"
23,"MADHYA PRADESH",393,BARWANI,451551.0,13/12/2021,"KISAN MOTORS","01, KISAN MOTORS, ANJAD ROAD,, 01, BARWANI, BARWANI","[{""NIC5DigitId"":""45401"",""Description"":""Wholesale or retail sale of new motorcycles, mopeds, scooters and three wheelers""}]"
18,ASSAM,294,KOKRAJHAR,783360.0,13/12/2021,"ROY ENETRPRISE","NO 2 KANNUPARA, NO 2 KANNUPARA, NO 2 KANNUPARA, NO 2 KANNUPARA, KACHUGAON, HUDUMKHATA","[{""NIC5DigitId"":""10799"",""Description"":""Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)""}]"
6,HARYANA,70,PANCHKULA,134109.0,13/12/2021,"M/S PHARMA LOGISTICS PANCHKULA","PLOT NO 324, PHARMA LOGISTICS, PANCHKULA, PLOT NO 324, PANCHKULA, PANCHKULA","[{""NIC5DigitId"":""46497"",""Description"":""Wholesale of pharmaceutical and medical goods""}]"
27,MAHARASHTRA,497,THANE,400701.0,13/12/2021,"SIDDHARTH SECURITY SERVICES","HOUSE NO 2046, OM NIWAS, GHANSOLI GAON, HOUSE NO 2046, BEHIND MARATHI SCHOOL, NAVI MUMBAI","[{""NIC5DigitId"":""80100"",""Description"":""Private security activities""},{""NIC5DigitId"":""80200"",""Description"":""Security systems service activities""}]"
9,"UTTAR PRADESH",152,JAUNPUR,222002.0,13/12/2021,"vinod general stores agencies","33, indra market, indra market, 33, sadar, jaunpur","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
24,GUJARAT,461,VADODARA,390001.0,13/12/2021,"PLEASURE ELEVATOR","GF-102, NARAYAN KRUPA, PIRAMITAR ROAD, RAJMAHAL ROAD, GF-102, 0, VADODARA","[{""NIC5DigitId"":""28161"",""Description"":""Manufacture of lifts, escalators and moving walkways""},{""NIC5DigitId"":""28162"",""Description"":""Manufacture of other lifting and handling equipment and parts thereof""}]"
9,"UTTAR PRADESH",144,"GAUTAM BUDDHA NAGAR",201301.0,13/12/2021,Chandraveer,"Habitpur, Habitpur, Noida, Habitpur, 63, Noida","[{""NIC5DigitId"":""49300"",""Description"":""Transport via pipeline""}]"
7,DELHI,80,NORTH,110084.0,13/12/2021,"Unique Car Rental","Khasra No 65, Block B, Sant Nagar, Khasra No 65, A, Delhi","[{""NIC5DigitId"":""77100"",""Description"":""Renting and leasing of motor vehicles""}]"
29,KARNATAKA,549,UDUPI,576104.0,13/12/2021,OneWorld.Yoga,"1902/C Wing, Royal Embassy, Vidyaratna Nagar, 1902/C Wing, Manipal, Manipal","[{""NIC5DigitId"":""86904"",""Description"":""Activities of nurses, masseures, physiotherapists or other para-medical practitioners""}]"
10,BIHAR,208,MUZAFFARPUR,843122.0,13/12/2021,"Devendra Sah Contractor","48, Pagahiya, Pagahiya, 48, Motipur, Muzaffarpur","[{""NIC5DigitId"":""78200"",""Description"":""Temporary employment agency activities""}]"
9,"UTTAR PRADESH",170,MIRZAPUR,231001.0,13/12/2021,"RAJA AGENCIES","00, DAKSHIN FATAK, VINDHYACHAL ROAD, 00, SADAR, MIRZAPUR","[{""NIC5DigitId"":""46305"",""Description"":""Wholesale of edible oils, fats, sugar and processed\/manufactured spices etc.""}]"
9,"UTTAR PRADESH",162,LUCKNOW,226005.0,13/12/2021,"NATIONAL POWER SERVICES","C-42, 0, ALAMBAGH, C-42, KAILASHPURI, LUCKNOW","[{""NIC5DigitId"":""26109"",""Description"":""Manufacture of other electronic components n.e.c""}]"
33,"TAMIL NADU",572,DINDIGUL,624002.0,13/12/2021,"Ayyanar cartons","11/19 b2, Annamalaiyar Mills colon, Madurai road, 11/19 b2, Dindigul, Dindigul","[{""NIC5DigitId"":""17099"",""Description"":""Manufacture of other paper products n.e.c.""}]"
27,MAHARASHTRA,485,"NAN DED",431605.0,13/12/2021,"AMOL KIRANA","NEAR EKTA PRI.SCHOOL, TAJ NAGAR, RAM NAGAR ROAD, NEAR EKTA PRI.SCHOOL, NANDED, NANDED","[{""NIC5DigitId"":""47214"",""Description"":""Retail sale of bakery products, dairy products and eggs""}]"
19,"WEST BENGAL",305,BANKURA,722102.0,13/12/2021,"M/s. BIKE CENTRE","M/s. BIKE CENTRE, KATUJURIDANGA, GOBINDNAGAR BUSSTAND, M/s. BIKE CENTRE, BANKURA I, BANKURA","[{""NIC5DigitId"":""45200"",""Description"":""Maintenance and repair of motor vehicles""}]"
33,"TAMIL NADU",569,COIMBATORE,641041.0,13/12/2021,"BLUSHON MAKEOVERS","NO.246, P N PUDUR, MARUDAMALAI MAIN ROAD, NO.246, ., COIMBATORE","[{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""}]"
9,"UTTAR PRADESH",171,MORADABAD,244102.0,13/12/2021,"KAMAL ELECTRONIC","14 WARD, NEAR BADA MANDIR PAKBARA MORADABAD, NEAR BADA MANDIR PAKBARA MORAD, 14 WARD, MORADABAD, MORADABAD","[{""NIC5DigitId"":""59113"",""Description"":""Production of television programmes or television commercials""}]"
24,GUJARAT,459,SURAT,394107.0,13/12/2021,"MITANSH IMPEX","8, MATHURA NAGAR SOCIETY, CHHAPARABHATHA ROAD, 8, ,, SURAT","[{""NIC5DigitId"":""32112"",""Description"":""Working of diamonds and other precious and semi-precious stones including the working of industrial quality stones and synthetic or reconstructed precious or semi-precious stones""},{""NIC5DigitId"":""13991"",""Description"":""Embroidery work and making of laces and fringes""}]"
29,KARNATAKA,545,MYSURU,570015.0,13/12/2021,"Ranga Enterprises","Hig 12 carshed, 3rd stage, Bannimantap, Hig 12 carshed, Mysore, Mysore","[{""NIC5DigitId"":""87900"",""Description"":""Other residential care activities n.e.c.""}]"
24,GUJARAT,438,AHMADABAD,380058.0,13/12/2021,"M/S AKSSHAT INTERNATIONAL","Office No-304, B-Square-2, Iscon-Ambli Road, Office No-304, -, Ahmedabad","[{""NIC5DigitId"":""21001"",""Description"":""Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its salts and esters; glycosides and vegetable alkaloids; chemically pure suger etc.""},{""NIC5DigitId"":""21003"",""Description"":""Manufacture of `ayurvedic’ or `unani’ pharmaceutical preparation""},{""NIC5DigitId"":""20211"",""Description"":""Manufacture of insecticides, rodenticides, fungicides, herbicides""}]"
20,JHARKHAND,333,JAMTARA,815351.0,13/12/2021,"RAMU MANDAL","VILL-POSOI, PO-BENA, JAMTARA, VILL-POSOI, JAMTARA, JAMTARA","[{""NIC5DigitId"":""96096"",""Description"":""Astrological and spiritualists’ activities""}]"
23,"MADHYA PRADESH",432,SHIVPURI,473551.0,13/12/2021,"KIRANA STORE","00, WARD NO.15, TONGRA ROAD, 00, SHIVPURI, SHIVPURI","[{""NIC5DigitId"":""10799"",""Description"":""Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)""}]"
19,"WEST BENGAL",315,KOLKOTA,700004.0,13/12/2021,"NORTH CALCUTTA AUTO CENTRE","178/2B, NORTH CALCUTTA AUTO CENTRE, A.P.C ROAD, 178/2B, KOLKATA, KOLKATA","[{""NIC5DigitId"":""45403"",""Description"":""Maintenance and repair of motor cycles, mopeds, scooters and three wheelers""}]"
23,"MADHYA PRADESH",401,DATIA,475661.0,13/12/2021,"Neelkamal Furniture","00, Thandi sadak, Thandi sadak, 00, Datia, Datia","[{""NIC5DigitId"":""31001"",""Description"":""Manufacture of furniture made of wood""}]"
32,KERALA,566,THRISSUR,680731.0,13/12/2021,"MSQURE CONSTRUCTIONS ASHTAMICHIRA","6/39F, M SQURE CONSTRUCTIONS, ASHTAMICHIRA, 6/39F, MALA, THRISSUR","[{""NIC5DigitId"":""82990"",""Description"":""Other business support service activities n.e.c.""}]"
30,GOA,551,"NORTH GOA",403504.0,13/12/2021,"Sapna Satyawan Mandrekar","H no 2, Varpat mayem, Mayem, H no 2, Bicholim, Bicholim","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
9,"UTTAR PRADESH",154,AMROHA,244221.0,13/12/2021,"M/S D.P.H. POULTRY FARM","dehri jumman, DPH POULTRY FARM, kothi khidmatpur, dehri jumman, amroha, amroha","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
9,"UTTAR PRADESH",163,HATHRAS,202139.0,13/12/2021,"SOMESH AATA CHAKKI","00, VILL LUTSAN, JALESAR ROAD, 00, SASNI, SASNI","[{""NIC5DigitId"":""10611"",""Description"":""Flour milling""}]"
3,PUNJAB,27,AMRITSAR,143001.0,13/12/2021,"PROP.....DEEPAK KUMAR","GALI NO .4, JASPAL NAGAR  SULTANWIND ROAD, NEAR BAU KARYAN, GALI NO .4, A, AMRITSAR","[{""NIC5DigitId"":""96095"",""Description"":""Activities of sauna and steam baths, massage salons etc.""}]"
24,GUJARAT,459,SURAT,395002.0,13/12/2021,"SHAH DILDARIYA CREATION","16, SAINATH SHERI, UDHNA MAGDALLA ROAD, 16, JUNCTION BACKERY LANE, SURAT","[{""NIC5DigitId"":""13139"",""Description"":""Other activities relating to finishing of textile n.e.c.""}]"
27,MAHARASHTRA,491,RAIGAD,410221.0,13/12/2021,"KAUSHAL TRANSPORT","KOLKHE, MUMBAI PUNE ROAD, PANVEL, KOLKHE, KOLKHE, TAL PANVEL","[{""NIC5DigitId"":""79110"",""Description"":""Travel agency activities""}]"
5,UTTARAKHAND,49,DEHRADUN,248197.0,13/12/2021,"RAHUL KUMAR","352, SAHASPUR, SAHASPUR, 352, SAHASPUR, DEHRDAUN","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""},{""NIC5DigitId"":""10719"",""Description"":""Manufacture of other bakery products n.e.c.""}]"
27,MAHARASHTRA,483,"MUMBAI SUBURBAN",400072.0,13/12/2021,"Gaikwad TIFFIN SUPPLIES","31/B/201, Devgiri Society, Andheri-East, 31/B/201, Sakinaka Police Station, Mumbai","[{""NIC5DigitId"":""56292"",""Description"":""Operation of canteens or (e.g. for factories, offices, hospitals or schools) on a concession basis""}]"
6,HARYANA,59,BHIWANI,127021.0,13/12/2021,Naveen,"Bhiwani, Bapora, Bapora, Bhiwani, Bapora, Bhiwani","[{""NIC5DigitId"":""55902"",""Description"":""Worker hostels and boarding houses""}]"
33,"TAMIL NADU",586,THANJAVUR,613004.0,13/12/2021,"ANNAI UNAVAGAM","18, ANNAI UNAVAGAM, Sankiliandavar Nagar Extension, 18, Reddipalayam, Thanjavur","[{""NIC5DigitId"":""56102"",""Description"":""Cafeterias, fast-food restaurants and other food preparation in market stalls""}]"
33,"TAMIL NADU",573,ERODE,638314.0,13/12/2021,RASAMAL,"120, ANNAMADUVU, PACHAMPALAYAM, 120, 120, ANTHIYUR TALUK","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
29,KARNATAKA,526,"BENGALURU (RURAL)",560083.0,13/12/2021,"SRI MALE MADESHWARA POOJA SHOP","2, Manjunath Building, 3, 2, 1, BENGALURU","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
27,MAHARASHTRA,497,THANE,421301.0,13/12/2021,"AARTI ENTERPRISES","FLAT NO.1707, SEASONS ORCHID CHS, YOGIDHAM ROAD, FLAT NO.1707, OPPOSITE BALAJI PARK, KALYAN WEST","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""},{""NIC5DigitId"":""46491"",""Description"":""Wholesale of toiletry, perfumery and cosmetics""}]"
19,"WEST BENGAL",704,"PASCHIM BARDHAMAN",713217.0,13/12/2021,"DAWN CONSTRUCTION","NA, NA, NA, NA, NA, DURGAPUR","[{""NIC5DigitId"":""42909"",""Description"":""Other civil engineering projects n.e.c.""}]"
9,"UTTAR PRADESH",179,BHADOHI,221401.0,13/12/2021,"MEER EGG TRADERS","0, 0, 0, 0, 0, BHADOHI","[{""NIC5DigitId"":""47214"",""Description"":""Retail sale of bakery products, dairy products and eggs""},{""NIC5DigitId"":""46303"",""Description"":""Wholesale of meat, fish & eggs""}]"
29,KARNATAKA,526,"BENGALURU (RURAL)",562162.0,13/12/2021,"K G N WOOD WORKS","5, ANUSUYA W/O LATE MP LINGARAJU, KUDURGERE MAIN ROAD, 5, NEAR POLICE STATION, BENGALURU","[{""NIC5DigitId"":""16221"",""Description"":""Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue-laminated and metal connected, prefabricated wooden roof trusses, doors, windows, shutters and their frames, whether or not containing metal fittings, stairs, railings, wooden beadings and mouldings, shingles and shakes etc.]""},{""NIC5DigitId"":""16229"",""Description"":""Manufacture of builders' carpentry and joinery n.e.c.""}]"
9,"UTTAR PRADESH",145,GHAZIABAD,201013.0,13/12/2021,"MAHI ENTERPRISES","H.NO E-556, GAUR, GOVINDPURAM, H.NO E-556, E, GHAZIABAD","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""}]"
36,TELANGANA,507,HYDERABAD,500004.0,13/12/2021,"SRI RAMA PAINTS & PIPE FITTING STORES","7-1-624, MARKET STREET, KHAIRATABAD, 7-1-624, MARKET STREET, HYDERABAD","[{""NIC5DigitId"":""46633"",""Description"":""Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers, saws, screwdrivers and other hand tools""},{""NIC5DigitId"":""20224"",""Description"":""Manufacture of prepared pigments and other colouring matter of a kind used in the manufacture of paints or by artists or other painters""}]"
27,MAHARASHTRA,466,AHMEDNAGAR,413708.0,13/12/2021,"Shivam Milk Processing and Products","Plot 216/1, Kale Wasti, Shingave Pimpalwadi Road, Plot 216/1, Rahata, Shingave","[{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""},{""NIC5DigitId"":""75000"",""Description"":""Veterinary activities""},{""NIC5DigitId"":""10509"",""Description"":""Manufacture of other dairy products n.e.c.""}]"
8,RAJASTHAN,92,BHILWARA,311204.0,13/12/2021,"SAGAS KIRANA STORE","447, RAWAT BHAWAN, SANGRAM GARH ROAD, 447, ASIND, BADNOR","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
6,HARYANA,75,SONIPAT,131001.0,13/12/2021,"Shree Shyam Bala Ji Kiryana Store","Near Anaj Mandi, Lalita W/o Sanjeev Kumar, Sonipat, Near Anaj Mandi, Mohan Nagar, Sonipat","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
19,"WEST BENGAL",303,"NORTH 24 PRAGANAS",743134.0,13/12/2021,"LOKNATH M ENTERPRISE","RAMPRASAD VITA, RAMPRASAD MANDIR MARKET, SIBER GALI, RAMPRASAD VITA, HALISAHAR, HALISAHAR","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
24,GUJARAT,438,AHMADABAD,380026.0,13/12/2021,"sokal chand","115 nehru nagar, lal bunglows, khokhra road, 115 nehru nagar, hatkeshwar, ahmedabad","[{""NIC5DigitId"":""49300"",""Description"":""Transport via pipeline""}]"
27,MAHARASHTRA,480,KOLHAPUR,416109.0,13/12/2021,"RENUKA TRADERS AND HARDWARE","GAT NO 852/1, SHAHAPUR KOROCHI ROAD, -, GAT NO 852/1, -, KOROCHI","[{""NIC5DigitId"":""43221"",""Description"":""Installation of plumbing for water, gas and sanitation equipments""}]"
36,TELANGANA,508,KARIMNAGAR,505001.0,13/12/2021,"M/S MATHA DIGITAL COLOUR LAB","8-4-627/3, REDDY COMPLEX, NEAR COMMINITY HALL, 8-4-627/3, 1ST FLOOR, KARIMNAGAR","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
3,PUNJAB,38,MOGA,142001.0,13/12/2021,"M/S NEW DELUXE TAILOR","OP GURUDAWARA GHLOIN, M/S NEW DELUXE TAILOR, BRINDER ROAD, OP GURUDAWARA GHLOIN, MOGA, MOGA","[{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
1,"JAMMU AND KASHMIR",623,BANDIPORA,193501.0,13/12/2021,"M/s Ab. Hafeez Dar","Na, Dar Manzil, Shahtulpora, Na, Sumbal, Sonawari","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
9,"UTTAR PRADESH",180,SHAHJAHANPUR,242221.0,13/12/2021,"Budhpal Gupta","01, Exchange Bali Gali, Jalalabad, 01, Jalalabad, Shahjahanpur","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
28,"ANDHRA PRADESH",506,GUNTUR,522601.0,13/12/2021,"JUST U","SHOP NO 6, SC COMPLEX, RAILWAY STATION ROAD, SHOP NO 6, 0, GUNTUR","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""}]"
29,KARNATAKA,544,MANDYA,571403.0,13/12/2021,"T. Varadegowda","#57, Vrushabhadri nilaya, Bus stop road, #57, Bus stop, Mandya","[{""NIC5DigitId"":""47211"",""Description"":""Retail sale of cereals and pulses, tea, coffee, spices and flour""}]"
33,"TAMIL NADU",585,SIVAGANGA,630103.0,13/12/2021,"Sri Bala Flour","2, Palaiyur, Middle Street, 2, Sakkottai, Karaikudi","[{""NIC5DigitId"":""22209"",""Description"":""Manufacture of other plastics products n.e.c""},{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""},{""NIC5DigitId"":""10795"",""Description"":""Grinding and processing of spices""}]"
32,KERALA,558,KASARAGOD,671314.0,13/12/2021,"AYYAPPA TRAVELS","KILIYALAM, KOLLAMPARA, KOLLAMPARA, KILIYALAM, PARAPPA, CHOYAMKODE","[{""NIC5DigitId"":""49110"",""Description"":""Passenger rail transport""}]"
9,"UTTAR PRADESH",182,SIDDHARTHNAGAR,272205.0,09/02/2022,"UPADHYAY PHARMA AND SURGICAL","02, RAJESH UPADHYAY, SHOHRATGARH, 02, SHOHRATGARH, SIDDHARTHNAGAR","[{""NIC5DigitId"":""47721"",""Description"":""Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles""},{""NIC5DigitId"":""82990"",""Description"":""Other business support service activities n.e.c.""}]"
9,"UTTAR PRADESH",147,GONDA,271504.0,09/02/2022,"RAJVATI KIRANA STORE","0, LAMCHORAN PURWA, BAHUWAN MADAR MAJHA, 0, PARASPUR, GONDA","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
27,MAHARASHTRA,478,JALGAON,425401.0,09/02/2022,"SHRI PREMRAJ WAMAN PATIL","AP TALWADE, TALWADE, TALWADE, AP TALWADE, TALWADE, AMALNER","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
9,"UTTAR PRADESH",143,FIROZABAD,283023.0,09/02/2022,"Aman Lites","0, Aman Lites, Islam Ganj, 0, Gurudwara, Firozabad","[{""NIC5DigitId"":""46492"",""Description"":""Wholesale of metal, porcelain and glass utensils; crockery and chinaware""}]"
3,PUNJAB,36,LUDHIANA,141008.0,09/02/2022,"R. V. S. Jain Hosiery","Anandpura Mohalla, STREET NO 5, Ludhiana, Anandpura Mohalla, Ludhiana, Ludhiana","[{""NIC5DigitId"":""14309"",""Description"":""Manufacture of other knitted and crocheted apparel including hosiery""}]"
27,MAHARASHTRA,496,SOLAPUR,413208.0,09/02/2022,"Arohi Kirana Stoar","madha road, ., madha road, madha road, madha, solapur","[{""NIC5DigitId"":""47712"",""Description"":""Retail sale of articles of fur and artificial fur""}]"
24,GUJARAT,459,SURAT,395004.0,09/02/2022,"SAGAR AUTO CONSULTANT","12, SAI RESIDENCY, KUBER NAGAR SOCIETY-, KATARGAM, 12, SHOP, SURAT","[{""NIC5DigitId"":""45102"",""Description"":""Wholesale and retail sale of used motor vehicles""}]"
27,MAHARASHTRA,467,AKOLA,444126.0,09/02/2022,"Radha Krishna Sales Corporation","Ward No 4, Jotiba Fule Shivaji Nagar, Jotiba Fule Shivaji Nagar, Ward No 4, Jotiba Fule, Adgaon bk","[{""NIC5DigitId"":""47732"",""Description"":""Retail sale of watches and clocks""}]"
